"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1619","REG-BCJA-002 — default Campaigns tab loads with table data","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","18738","REG-BCJA-011 — expand Campaigns URL, open landing detail, handoff to Path Analytics with data","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","4272","REG-BCJA-009 — Campaigns search / clear when search control exists","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","14733","authenticate and select profile site","smoke-setup","2026-08-03","passed","2026-08-03","","smoke_tests\auth.setup.ts","",""
"","19968","REG-BCJA-020 — apply Time Period Last 6 hours refreshes page","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","189","REG-BCJA-030 — Brand Attribution affordance soft presence check (no mutation)","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","158","REG-BCJA-013 — Path Analytics hierarchy / overview metrics render","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","133","REG-BCJA-012 — Go to my Campaign dashboard / Save Campaign presence (no save)","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","1290","REG-BCJA-014 — Path Analytics Paths vs Pages toggle shows table data under each tab","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","1848","REG-BCJA-005 — rapid tab switching leaves final Campaigns tab healthy","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","975","REG-BCJA-007 — Campaigns table has data rows and optional All Traffic / No Campaign rows","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","2819","REG-BCJA-018 — Path Flow card/node selection soft-check","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","1126","REG-BCJA-028 — recover to Campaigns tab and verify page healthy after suite churn","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","2535","REG-BCJA-004 — top-level tabs Campaigns / Path Analytics / Path Flow switch wrappers","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","762","REG-BCJA-029 — responsive narrow desktop keeps tabs reachable","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","8879","REG-BCJA-027 — combination: tab switches + filters open/close without overlay block","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","10822","REG-BCJA-023 — apply Time Period Last 30 days refreshes page","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","7585","REG-BCJA-015 — click path row focuses Path Analytics context","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","4432","REG-BCJA-016 — Path Flow is last tab with Landing Page card and consecutive Step cards","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","2342","REG-BCJA-010 — Campaigns pager info and export options soft-check","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","10722","REG-BCJA-022 — apply Time Period Last 7 days refreshes page","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","2138","REG-BCJA-008 — Campaigns Brand ($) column sort changes row order when multiple rows exist","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","3130","REG-BCJA-026 — info icons present; keyboard focus sample on primary tabs","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
