"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5256","REG-CIT-005 — TABLE VIEW and TRENDS VIEW tabs switch active state","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","4160","REG-CIT-023 — Highcharts soft presence on page (table or trends)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","5373","REG-CIT-022 — TRENDS VIEW soft chart / filter chrome then restore TABLE","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","8920","REG-CIT-020 — apply Time Period ~7 days when available; table healthy","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","468","REG-CIT-030 — suite remains on competitive-index Table (not Trends-only permanent)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","5247","REG-CIT-009 — sort representative columns when multiple rows exist","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","381","REG-CIT-018 — soft-select benchmark Site/company when options resolve","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","2246","REG-CIT-019 — Filters drawer opens with representative labels; Cancel/close","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","330","REG-CIT-013 — Select Metrics open/close (no permanent column shrink)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","206","REG-CIT-003 — selected portal site is GDC Test Site 2; quick badges present","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","14478","REG-CIT-016 — change Industry (runtime option) then restore","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","11721","REG-CIT-017 — change Vertical (runtime option) then restore","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","16417","REG-CIT-021 — apply Time Period ~30 days when available; table healthy","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","5488","REG-CIT-025 — combination: Filters open/close + TABLE/TRENDS without overlay block","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","7901","REG-CIT-026 — sort + search + clear combination","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","915","REG-CIT-024 — info icons present soft-check; focus sample on primary controls","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","155","REG-CIT-012 — export menu soft-check (CSV/TSV/JSON)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","185","REG-CIT-014 — Restore Defaults control presence soft-check","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","6277","REG-CIT-010 — table search with runtime token, no-match, then clear","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","8335","REG-CIT-006 — rapid TABLE ↔ TRENDS leaves TABLE VIEW healthy","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","206","REG-CIT-001 — page loads with Competitive Index title, Table breadcrumb and view=table","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","3774","REG-CIT-027 — recover to captured Industry/Vertical/TABLE VIEW context","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","451","REG-CIT-028 — page healthy after suite churn; non-fatal page errors annotated","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","415","REG-CIT-008 — sampled table rows have Company and Vertical text","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","810","REG-CIT-007 — table identity columns and representative metrics present","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","14231","authenticate and select profile site","smoke-setup","2026-08-05","passed","2026-08-05","","smoke_tests\auth.setup.ts","",""
"","532","REG-CIT-029 — responsive narrow desktop keeps tabs and table reachable","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","2512","REG-CIT-011 — pager info soft-check when present","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","345","REG-CIT-002 — default TABLE VIEW loads with performance index table settled","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","442","REG-CIT-015 — Add Comparison soft open/close without leaving pollution","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
"","148","REG-CIT-004 — Industry / Vertical / Site selectors visible","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Table","regression_tests\US2\business-insights\improve-traffic\competitive-index-table\competitive.index.table.regression.spec.ts","",""
