"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","278","REG-CITr-002 — default TRENDS VIEW active with filter chrome settled","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","74","REG-CITr-001 — page loads with Competitive Index title, Trends breadcrumb and view=trends","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","165","REG-CITr-025 — info-icon / tooltip soft presence on chrome","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","16474","REG-CITr-021 — soft-apply ~7d / ~30d time periods; restore Trends health","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","3733","REG-CITr-019 — TABLE chrome soft: Export / Select Metrics / Add Comparison (no permanent mutate)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","130","REG-CITr-004 — Trends Industry / Vertical / Group Select2 visible","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1840","REG-CITr-024 — My Filters / Shared Filters tabs read-only soft inspect","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","13345","REG-CITr-028 — browser Back/Forward/refresh recovery prefers view=trends","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","2582","REG-CITr-011 — Search Companies with runtime token then clear","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","645","REG-CITr-026 — keyboard focus soft (search, Clear Sites, Filters)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","9369","REG-CITr-009 — change Vertical (runtime) when alternates exist; restore","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","646","REG-CITr-015 — primary chart host soft-assert (#groupsChart / containers)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","8682","authenticate and select profile site","smoke-setup","2026-08-05","passed","2026-08-05","","smoke_tests\auth.setup.ts","",""
"","1771","REG-CITr-020 — Filters pane labels (Time Period, Timezone, Statistical Method)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","14501","REG-CITr-029 — chart hosts not unreasonably duplicated after refresh","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1296","REG-CITr-027 — responsive soft: narrow desktop keeps Trends chrome/chart reachable","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","141","REG-CITr-017 — #industryTrendChart presence soft (0×0 OK)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1392","REG-CITr-022 — Statistical Method / Percentile Select2 soft-open","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","372","REG-CITr-003 — portal site is GDC Test Site 2; quick badges present","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","5438","REG-CITr-012 — toggle sample sites then Clear Sites Toggles","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","4399","REG-CITr-030 — final recovery: Trends view, cleared site toggles, no sticky table","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","4539","REG-CITr-013 — Create Group / Manage Groups / View Metric soft open-close (no Save)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","4392","REG-CITr-005 — TRENDS VIEW and TABLE VIEW tabs switch; restore TRENDS","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","208","REG-CITr-016 — groups chart title soft-regex (industry / metric wording)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1538","REG-CITr-014 — #hideTrendFilters collapse/expand soft-check","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","7299","REG-CITr-006 — rapid TRENDS ↔ TABLE leaves TRENDS VIEW healthy","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","11094","REG-CITr-008 — change Industry (runtime) and soft-compare chart signature; restore","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1072","REG-CITr-010 — Group selector soft-open (empty groups OK)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","502","REG-CITr-007 — Search Companies + Clear Sites Toggles chrome present","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","1842","REG-CITr-023 — Cancel/Escape closes Filters without Save Filter","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
"","3717","REG-CITr-018 — TABLE VIEW soft parity then restore TRENDS (view=trends)","chromium-regression","2026-08-05","passed","2026-08-05","US2 Regression — Competitive Index Trends","regression_tests\US2\business-insights\improve-traffic\competitive-index-trends\competitive.index.trends.regression.spec.ts","",""
