"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","574","REG-CWV-019 — Copy URL icon copies expanded URL to clipboard","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","7300","REG-CWV-020 — Instant Measurement icon opens Synthetic Instant in new tab","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","228","REG-CWV-027 — Performance By Geography world map renders","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","105","REG-CWV-002 — default Performance by Page table and sections render","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","87","REG-CWV-003 — Performance by Page table headers include Page Name and CWV metrics","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","1947","REG-CWV-026 — Performance By Country section is present","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","160","REG-CWV-001 — page loads via BI Core Web Vitals menu/route with correct title","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","17203","REG-CWV-014 — top filter combo: Device Desktop + Browser Firefox","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3015","REG-CWV-017 — top filter combo: restore Data Origin both + Last 7 Days","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","10977","authenticate and select profile site","smoke-setup","2026-07-31","passed","2026-07-31","","smoke_tests\auth.setup.ts","",""
"","830","REG-CWV-025 — hamburger export exposes CSV download","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3240","REG-CWV-022 — VitalScope metric icon opens drilldown modal with table","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","14025","REG-CWV-013 — top filter combo: Data Origin RUM Browser + Browser Chrome","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","7535","REG-CWV-032 — Time Period Last 24 hours refreshes overview table","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","6916","REG-CWV-033 — Time Period Last 7 days refreshes overview table","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3944","REG-CWV-021 — expanded URL click opens Performance Detail in new tab","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","13426","REG-CWV-010 — top filter combo: Browser = Safari","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
