"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1995","REG-CJA-005 — rapid tab switching leaves final Campaigns tab healthy","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","422","REG-CJA-029 — responsive narrow desktop keeps tabs reachable","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","10489","REG-CJA-023 — apply Time Period Last 30 days refreshes page","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","4339","REG-CJA-025 — Native Webview / App Screen indicator soft-check on Path Flow","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","217","REG-CJA-012 — Go to my Campaign dashboard / Save Campaign presence (no save)","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","2918","REG-CJA-017 — Path Flow Focal Page View toggles and restores Landing view","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","338","REG-CJA-006 — Campaigns table headers include journey metrics","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","1467","REG-CJA-004 — top-level tabs Campaigns / Path Analytics / Path Flow switch wrappers","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","2625","REG-CJA-026 — info icons present; keyboard focus sample on primary tabs","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","1653","REG-CJA-010 — Campaigns pager info and export options soft-check","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","4218","REG-CJA-016 — Path Flow is last tab with Landing Page card and consecutive Step cards","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","2397","REG-CJA-019 — Filters drawer opens with representative labels; Cancel/close","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","944","REG-CJA-003 — selected site is GDC Test Site 2 and quick-filter badges are present","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","1222","REG-CJA-014 — Path Analytics Paths vs Pages toggle shows table data under each tab","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","632","REG-CJA-007 — Campaigns table has data rows and optional All Traffic / No Campaign rows","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","19384","REG-CJA-024 — sample Campaign/Landing filter apply and restore","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","13021","authenticate and select profile site","smoke-setup","2026-07-31","passed","2026-07-31","","smoke_tests\auth.setup.ts","",""
"","3315","REG-CJA-009 — Campaigns search / clear when search control exists","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
