"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20728","REG-CWV-SO-014 — Bot Traffic / OS / Originated From / Page Name|Group sample + restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","7491","REG-CWV-SO-024 — restore baseline; suite home healthy; no leftover mutations","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","37","REG-CWV-SO-002 — portal BI tool loads; title/route; no login redirect","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","8625","REG-CWV-SO-012 — Comparison Directly Previous ↔ Same Time Last Year + restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","8549","REG-CWV-SO-018 — Reset to default after intentional Lookback change","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","343","REG-CWV-SO-010 — Filters inventory soft (Percentile/Device/Browser/OS/…)","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","17538","REG-CWV-SO-021 — combo: Lookback → filter → Refresh → Export soft → Reset","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","31026","REG-CWV-SO-016 — Export ▾ PNG / PDF / CSV soft vs UI","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","293","REG-CWV-SO-008 — viewer title CWV Top 10 Summary Onload + Global soft; not confused surfaces","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","10852","REG-CWV-SO-011 — Lookback Period change + soft refresh + restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","13849","REG-CWV-SO-015 — Return/New Visitor / Traffic Segment / Time Zone soft + restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","12634","REG-CWV-SO-005 — Charts Search finds CWV Top 10 Summary Onload; viewer chrome required","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","6802","REG-CWV-SO-019 — column sort soft (Page Name / Onload / Change) + Escape overlays","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","34","REG-CWV-SO-004 — BI rail soft: Favorites / Dashboards / AI Query / Charts / Schedules / Folders","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","85","REG-CWV-SO-003 — GDC Test Site 2; #bi-iframe ready; Onload chart identity","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","32255","REG-CWV-SO-001 — Chart Builder prerequisite: tables/axes/types/Options/Order By/Top N/Run Query then restore Onload","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","1120","REG-CWV-SO-023 — ~1100px viewport keeps BI + Onload reachable","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","8590","authenticate and select profile site","smoke-setup","2026-09-03","passed","2026-09-03","","smoke_tests\auth.setup.ts","",""
"","23108","REG-CWV-SO-013 — Percentile / Device / Browser sample combos + restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","84","REG-CWV-SO-020 — not VitalPulse / VitalScope / PoP dashboard / plain Summary as home","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","4322","REG-CWV-SO-017 — Refresh Data soft settle; identity retained","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","14699","REG-CWV-SO-022 — portal reload; re-open Onload + GDC soft","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","68","REG-CWV-SO-009 — table inventory Page Name|Onload|Page Hits|Current|Previous|Change + Data Table soft","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","12583","REG-CWV-SO-006 — soft Charts list chrome (folders / Local-UTC / Reset) non-destructive restore","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
"","12634","REG-CWV-SO-007 — soft sibling catalog (CWV Top 10 Summary / CWV Trends by Page); restore Onload","chromium-regression","2026-09-03","passed","2026-09-03","US2 Regression — CWV Top 10 Summary Onload Chart","regression_tests\US2\advanced-reporting\custom-reporting\business-intelligence\cwv-top10-summary-onload\cwv.top10.summary.onload.regression.spec.ts","",""
