"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","28045","REG-MO-015 — Auto Refresh options enumerate; sample two safe values and restore","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","555","REG-CJA-007 — Campaigns table has data rows and optional All Traffic / No Campaign rows","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","68","REG-CWV-020 — Instant Measurement icon opens Synthetic Instant in new tab","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3235","REG-MO-039 — Conversion Rate by Device graphs with percentage presentation","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","3304","REG-MO-008 — manual refresh reloads widgets without duplication","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","13114","REG-MO-013 — sample lookback Last 30 Days and restore original lookback","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","1700","REG-CJA-010 — Campaigns pager info and export options soft-check","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","3826","REG-MO-042 — Filters drawer opens with representative controls; Cancel without apply","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","13774","REG-MO-014 — custom date selection Cancel does not apply pending range","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","55","REG-CWV-018 — expand Top 50 URLs for a page","chromium-regression","2026-07-31","skipped","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","70","REG-CJA-001 — page loads via BI menu/route with correct breadcrumb and sales conversion-type","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","112","REG-CWV-002 — default Performance by Page table and sections render","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","22496","REG-MO-043 — apply one Traffic Medium filter and verify refresh; restore","chromium-regression","2026-07-31","passed","2026-07-31","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","12347","authenticate and select profile site","smoke-setup","2026-07-31","passed","2026-07-31","","smoke_tests\auth.setup.ts","",""
