"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","251","REG-CWV-028 — Geography Zoom in / Zoom out controls respond","chromium-regression","2026-08-03","skipped","2026-08-03","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","211","REG-CWV-024 — Customize Table Save & Close persists and returns to table","chromium-regression","2026-08-03","skipped","2026-08-03","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","161","REG-CWV-017 — top filter combo: restore Data Origin both + Last 7 Days","chromium-regression","2026-08-03","skipped","2026-08-03","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3365","REG-MO-009 — time lookback presets are unique and non-blank","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","19353","REG-CJA-020 — apply Time Period Last 6 hours refreshes page","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","4504","REG-MO-034 — Source table sort / search / clear when rows exist","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","89","REG-CJA-001 — page loads via BI menu/route with correct breadcrumb and sales conversion-type","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","218","REG-BCJA-012 — Go to my Campaign dashboard / Save Campaign presence (no save)","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","19494","REG-MO-016 — changing Auto Refresh does not alter lookback","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","174","REG-CWV-019 — Copy URL icon copies expanded URL to clipboard","chromium-regression","2026-08-03","skipped","2026-08-03","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3810","REG-BCJA-016 — Path Flow is last tab with Landing Page card and consecutive Step cards","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Brand Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\brand-customer-journey-analysis\brand.customer.journey.analysis.regression.spec.ts","",""
"","16275","REG-CJA-011 — expand Campaigns URL, open landing detail, handoff to Path Analytics with data","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
"","5423","REG-MO-036 — Traffic Medium table headers and formatting","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","180313","REG-CWV-012 — top filter combo: Data Origin RUM Browser + Device Mobile","chromium-regression","2026-08-03","broken","2026-08-03","US2 Regression — Core Web Vitals (VitalScope)","regression_tests\US2\business-insights\improve-traffic\core-web-vitals\core.web.vitals.regression.spec.ts","",""
"","3275","REG-CJA-017 — Path Flow Focal Page View toggles and restores Landing view","chromium-regression","2026-08-03","passed","2026-08-03","US2 Regression — Customer Journey Analysis","regression_tests\US2\business-insights\improve-traffic\customer-journey-analysis\customer.journey.analysis.regression.spec.ts","",""
