"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","283","REG-MO-040 — Sessions by Device graphs","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","10574","REG-MO-014 — custom date selection Cancel does not apply pending range","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","34","REG-MO-001 — page loads via menu/route with correct breadcrumb and URL","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","5024","REG-MO-038 — Revenue by Device bar and line graphs","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","23494","REG-MO-045 — two-filter combination and restrictive no-match empty state","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","4327","REG-MO-028 — rapid campaign metric switching leaves only final metric active","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","7021","REG-MO-041 — hamburger options work independently on different device widgets","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","6094","REG-MO-030 — hover campaign graph points and validate tooltip content","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","6126","REG-MO-011 — sample lookback Last 2 Days refreshes widgets when available","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","3245","REG-MO-025 — campaign action menu labels and safe Back navigation","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","20504","REG-MO-044 — apply Traffic Source filter; assert Source table alignment when possible","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
"","129145","REG-MO-027 — every Campaigns Over Time tab has graph data and detailed tooltips","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Marketing Overview","regression_tests\US2\business-insights\improve-traffic\marketing-overview\marketing.overview.regression.spec.ts","",""
