"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","60037","REG-RO-036 — Time Period 1 Days: labels + Actual Revenue timeline","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1439","REG-RO-047 — keyboard focus reaches interactive page controls","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","11478","REG-RO-015 — Total Actual Revenue: hover tooltip + context menu","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","60028","REG-RO-039 — Time Period 30 days: labels + Actual Revenue timeline","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1193","REG-RO-018 — What If: edit variables then Cancel (no Save)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1200","REG-RO-019 — Revenue Opportunity table: column sort","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","54","REG-RO-033 — What If Save control present but unused (read-only guard)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","88","REG-RO-028 — additional UI: opportunity calculator / conversion graphs remain present","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","3272","REG-RO-043 — What If selectors expose valid option ranges and Cancel restores values","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","976","REG-RO-021 — Revenue Opportunity table: pager navigation when present","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","3233","REG-RO-022 — information icon tooltips sample","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","2747","REG-RO-034 — View Filters banner shows applied filter chip sample","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","222","REG-RO-027 — common legend check/uncheck refreshes series across page charts","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1928","REG-RO-032 — device overview table follows Desktop card selection","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","12774","REG-RO-009 — restore primary/default-ish report (index 0)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","582","REG-RO-002 — default report/session context renders opportunity widgets","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","107","REG-RO-040 — Revenue Data Type, Report Type and Report options are unique and non-blank","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","2994","REG-RO-012 — Revenue Opportunity By Page: legend toggle + context menu","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","4797","REG-RO-011 — Revenue Opportunity By Page: graph visible + tooltip on hover","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","3954","REG-RO-046 — core Revenue Opportunity controls expose accessible names","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","133","REG-RO-017 — What If: table visible with optimized/faster columns","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","799","REG-RO-014 — Revenue Opportunity By Platform: context menu","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","28162","REG-RO-050 — final recovery restores default context without blocking page errors","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","12271","REG-RO-049 — selected report refresh behavior is controlled and recoverable","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","4334","REG-RO-023 — View Filters / Hide Filters toggles applied-filter banner","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1903","REG-RO-003 — page load performance: title + charts within SLA window","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","5424","REG-RO-031 — 30 Day Opportunity: iOS / Android card sample when present","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","151","REG-RO-026 — top-nav right controls visible with tooltips","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","940","REG-RO-035 — Revenue Calibration top-nav control is present (tooltip)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","13681","REG-RO-016 — All Browser Devices 30 days: line graph hover + legend","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","3034","REG-RO-044 — table no-match search and clearing preserve a healthy table","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1055","REG-RO-048 — standard and narrow desktop viewports retain essential controls","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","4421","REG-RO-006 — Revenue Data Type: Web Browser & Native App combination","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","41","REG-RO-030 — performance re-check after interactions: charts still load","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1088","REG-RO-020 — Revenue Opportunity table: search/filter","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","4715","REG-RO-005 — Revenue Data Type: Native App Data sample (if available)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","60021","REG-RO-038 — Time Period 14 Days: labels + Actual Revenue timeline","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","5467","REG-RO-010 — 30 Day Opportunity: All / Desktop / Mobile card clicks refresh sections","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","60031","REG-RO-037 — Time Period 7 Days: labels + Actual Revenue timeline","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","43","REG-RO-001 — page loads via menu/route with correct breadcrumb","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1436","REG-RO-025 — Report Manager opens (read-only; no delete)","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","165","REG-RO-041 — visible opportunity cards expose device/platform labels and values","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","10941","REG-RO-013 — Revenue Opportunity By Platform: hover tooltip + legend","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","9175","REG-RO-008 — Report dropdown: switch to second available report","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","9168","REG-RO-024 — right-nav Filters: performance metric + visitor type sample","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","5242","REG-RO-007 — Report Type sample combination refreshes page","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","2978","REG-RO-045 — advanced Filters expose labels and Cancel without applying","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","1946","REG-RO-042 — rapid device-card changes resolve without duplicate chart hosts","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","7505","REG-RO-004 — Revenue Data Type: Web Browser Data refreshes widgets","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","8567","REG-RO-029 — data refresh after device card + data type combo","chromium-regression","2026-07-30","passed","2026-07-30","US2 Regression — Revenue Opportunity","regression_tests\US2\business-insights\improve-conversion\revenue-opportunity\revenue.opportunity.regression.spec.ts","",""
"","10417","authenticate and select profile site","smoke-setup","2026-07-30","passed","2026-07-30","","smoke_tests\auth.setup.ts","",""
