PASS | rum.dxo | Digital Experience Overview
PASS | rum.executive-kpi | Executive KPI Report
PASS | rum.crux | CrUX Report
PASS | rum.automated-reports | Automated Reports
PASS | rum.alerts | Alerts
PASS | rum.data-science | Data Science
PASS | logs.alerts-log | Alerts Log
PASS | logs.reports-log | Reports Log
PASS | logs.domain-violation-audit | Domain Violation & Audit Log
PASS | logs.synthetic-monitors | Synthetic Monitors Log
PASS | logs.instant-measurement | Instant Measurement Log
PASS | logs.consultant-access | Consultant Access History
PASS | logs.site-variables | Site Variables Log
