"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","38811","Smoke: open menu and verify Advanced Reporting submenu pages load (read-only)","chromium-smoke","2026-08-03","passed","2026-08-03","","smoke_tests\menu-submenu-navigation.smoke.spec.ts","",""
"","15","smoke catalog integrity — expected page count","chromium-smoke","2026-08-03","passed","2026-08-03","","smoke_tests\portal-pages.smoke.spec.ts","",""
"","6806","logs.alerts-log — Alerts Log loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7835","rum.automated-reports — Automated Reports loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8839","rum.executive-kpi — Executive KPI Report loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8013","synth.data-repos — Central Data Repositories loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","6034","logs.site-variables — Site Variables Log loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8354","rum.performance-overview — Performance Overview loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7284","mkt.brand-journey — Brand Customer Journey Analysis loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","6769","native.aggregate-waterfall — Aggregate Waterfall loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8450","biz.revenue-assurance — Revenue Assurance loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7002","synth.page-perf-comparison — Page Performance Comparison loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7456","mkt.marketing-overview — Marketing Overview loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","14955","authenticate and select profile site","smoke-setup","2026-08-03","passed","2026-08-03","","smoke_tests\auth.setup.ts","",""
"","6745","synth.network-results — Test Results loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7986","rum.session-lookup — Session Lookup loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8243","biz.revenue-calculator — Revenue Calculator loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","7328","tag.sla-status — SLA Status loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8993","biz.brand-calculator — Brand Calculator loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","23873","synth.erroring-monitors — Erroring Synthetic Monitors loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","8783","biz.revenue-analysis — Revenue Analysis loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","5914","logs.instant-measurement — Instant Measurement Log loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","10037","nav.left-nav — menu opens and favorites present","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke chrome: auth + nav","smoke_tests\nav.chrome.smoke.spec.ts","",""
"","7689","tag.inventory — Inventory Analysis loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","6855","biz.brand-attribution — Brand Attribution loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
"","6699","rum.performance-comparison — Performance Comparison loads","chromium-smoke","2026-08-03","passed","2026-08-03","Smoke: portal page loads (catalog)","smoke_tests\portal-pages.smoke.spec.ts","",""
